Time,Heat,DrySoil,DryAir,Wind,RainRelief,InstantRisk,DrynessInput,CarryoverRisk,CombinedRisk,FinalWildfireRiskIndex,FinalWildfireRiskBand
2026-02-01 00:00:00,0.3433333333333334,0.355,0.040000000000000036,0.149,0.0,0.21063333333333337,0.25016666666666665,0.25016666666666665,0.011987757347222221,0.0,Low
2026-02-01 01:00:00,0.35,0.677,0.040000000000000036,0.179,0.0,0.2515,0.41250000000000003,0.29075,0.0166356246875,0.8483332692307689,Low
2026-02-01 02:00:00,0.35,0.6996666666666667,0.040000000000000036,0.177,0.0,0.25336666666666663,0.42383333333333334,0.3240208333333333,0.01867685785243055,1.2670477646011387,Low
2026-02-01 03:00:00,0.3433333333333334,0.7021666666666666,0.030000000000000027,0.16999999999999998,0.0,0.24755000000000002,0.42274999999999996,0.348703125,0.019638131830078124,1.4642321702724352,Low
2026-02-01 04:00:00,0.3333333333333333,0.7015,0.020000000000000018,0.1785,0.03,0.24018333333333336,0.41341666666666665,0.3648815104166666,0.01993774906841363,1.5256921165976676,Low
2026-02-01 05:00:00,0.31666666666666665,0.7018333333333333,0.020000000000000018,0.193,0.02,0.23745000000000002,0.41225,0.37672363281249993,0.020350563554077147,1.610372011092748,Low
2026-02-01 06:00:00,0.3,0.6983333333333333,0.010000000000000009,0.098,0.01,0.21043333333333333,0.4081666666666666,0.3845843912760416,0.01841143290445285,1.2126016214262256,Low
2026-02-01 07:00:00,0.27666666666666667,0.7003333333333333,0.040000000000000036,0.244,0.06,0.2315,0.39749999999999996,0.3878132934570312,0.02042467186653137,1.6255737162115627,Low
2026-02-01 08:00:00,0.25666666666666665,0.7018333333333333,0.040000000000000036,0.28500000000000003,0.06,0.23185,0.39425,0.3894224700927734,0.020540428929704667,1.6493187548112134,Low
2026-02-01 09:00:00,0.23333333333333334,0.699,0.06000000000000005,0.2285,0.08,0.21293333333333336,0.38616666666666666,0.38860851923624673,0.01882510342501534,1.2974571128236598,Low
2026-02-01 10:00:00,0.21666666666666667,0.6976666666666667,0.06999999999999995,0.2305,0.06999999999999999,0.20953333333333332,0.38516666666666666,0.3877480560938517,0.0184834974612618,1.2273840946178052,Low
2026-02-01 11:00:00,0.2,0.699,0.06000000000000005,0.21000000000000002,0.03,0.20090000000000005,0.38949999999999996,0.38818604207038876,0.017741946006316605,1.0752709756546879,Low
2026-02-01 12:00:00,0.18999999999999997,0.0,0.09999999999999998,0.2395,0.01,0.1429,0.046,0.3026395315527916,0.009838735510898368,0.0,Low
2026-02-01 13:00:00,0.18333333333333332,0.0,0.13,0.2185,0.0,0.14303333333333335,0.049666666666666665,0.23939631533126035,0.0077899760505721555,0.0,Low
2026-02-01 14:00:00,0.18333333333333332,0.2954999999999999,0.21999999999999997,0.2505,0.0,0.19698333333333332,0.2064166666666666,0.2311514031651119,0.010358751562282066,0.0,Low
2026-02-01 15:00:00,0.18999999999999997,0.6548333333333334,0.21999999999999997,0.22149999999999997,0.01,0.22878333333333334,0.3854166666666667,0.2697177190405006,0.014038324031811444,0.3155536475510652,Low
2026-02-01 16:00:00,0.2,0.7005,0.18000000000000005,0.1545,0.0,0.21695000000000003,0.40825,0.30435078928037546,0.015021575599570873,0.5172462768350506,Low
2026-02-01 17:00:00,0.21666666666666667,0.7015,0.08999999999999997,0.086,0.0,0.19201666666666664,0.40308333333333335,0.32903392529361497,0.014373449443791837,0.3842973218034535,Low
2026-02-01 18:00:00,0.23333333333333334,0.7,0.050000000000000044,0.08299999999999999,0.0,0.18993333333333334,0.40166666666666667,0.3471921106368779,0.01500211323526772,0.5132539969779936,Low
2026-02-01 19:00:00,0.25666666666666665,0.7018333333333333,0.050000000000000044,0.10300000000000001,0.0,0.20345000000000002,0.40725,0.3622065829776584,0.016764686417298048,0.874807470214984,Low
2026-02-01 20:00:00,0.27666666666666667,0.6966666666666667,0.040000000000000036,0.095,0.0,0.20733333333333337,0.4076666666666667,0.37357160389991045,0.017620749936618944,1.050410243409014,Low
2026-02-01 21:00:00,0.29666666666666663,0.7010000000000001,0.020000000000000018,0.0915,0.0,0.21106666666666668,0.4118333333333334,0.38313703625826623,0.01839734649470401,1.2097121014777452,Low
