Time,Heat,DrySoil,DryAir,Wind,RainRelief,InstantRisk,DrynessInput,CarryoverRisk,CombinedRisk,FinalWildfireRiskIndex,FinalWildfireRiskBand
2026-08-01 00:00:00,0.49366666666666664,0.5084500000000001,0.5,0.25,0.0,0.3983116666666667,0.40295833333333336,0.40295833333333336,0.03651443371649305,4.926037685434472,Low
2026-08-01 01:00:00,0.5113333333333333,0.51705,0.5,0.25,0.0,0.4062383333333333,0.41079166666666667,0.4049166666666667,0.037422082835763884,5.112222120156694,Moderate
2026-08-01 02:00:00,0.44200000000000006,0.5250166666666667,0.5,0.25,0.0,0.3793016666666667,0.40090833333333337,0.40391458333333335,0.03485424548271702,4.585486252865029,Low
2026-08-01 03:00:00,0.434,0.5329333333333333,0.5,0.25,0.0,0.37689333333333336,0.4032666666666666,0.4037526041666667,0.034619053748003475,4.537241794462251,Low
2026-08-01 04:00:00,0.4413333333333333,0.5409,0.5,0.25,0.0,0.3806233333333333,0.4087166666666667,0.40499361979166665,0.03506912990122287,4.629565107943153,Low
2026-08-01 05:00:00,0.5153333333333333,0.5495333333333334,0.5,0.25,0.0,0.41108666666666666,0.42783333333333334,0.4107035481770833,0.038409906218385956,5.314852557617632,Moderate
2026-08-01 06:00:00,0.5293333333333333,0.5583,0.5,0.25,0.0,0.41756333333333334,0.43501666666666666,0.41678182779947914,0.039592464113181486,5.557428536037228,Moderate
2026-08-01 07:00:00,0.5226666666666666,0.567,0.5,0.25,0.0,0.4157666666666667,0.4380333333333333,0.4220947041829427,0.03992463660999332,5.625566484101193,Moderate
2026-08-01 08:00:00,0.5753333333333334,0.5761833333333333,0.5,0.25,0.0,0.4377516666666667,0.4531583333333333,0.4298606114705404,0.0428091752965198,6.217266727491241,Moderate
2026-08-01 09:00:00,0.6703333333333333,0.5862166666666667,0.5,0.25,0.0,0.476755,0.477175,0.4416892086029053,0.04790639004230126,7.262849239446412,Moderate
2026-08-01 10:00:00,0.725,0.59675,0.5,0.25,0.0,0.4996749999999999,0.49337499999999995,0.4546106564521789,0.05167834939602391,8.036584491492084,Moderate
2026-08-01 11:00:00,0.8016666666666665,0.60795,0.5,0.25,0.0,0.5314616666666667,0.5143083333333334,0.4695350756724675,0.05677032585664191,9.081092483413725,Moderate
2026-08-01 12:00:00,0.8766666666666666,0.61985,0.5,0.25,0.0,0.5626516666666668,0.5352583333333334,0.485965890087684,0.062205215345224225,10.195941609276764,High
